Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
26,0.526710517,0.50653139,2.323598086,0.538317811,-1.445372933,0.567182376,-1.134017203,0.933505167,0.585911021,-0.758717255,2.341433181,-0.905963672,2.417025905,-0.086004398,-0.72611423,0.032517922,0.332585787,0.720263214,1.244225684,0.083162079,-0.105561844,-0.587608158,-0.06594429,0.043478412,0.131319467,-0.477668395,-0.02322786,0.18723984,183.84,0
26,-1.000720524,-0.68940698,0.491481949,-0.399631058,-0.331154875,-1.191797432,-0.904256331,0.242771304,-1.002102474,0.439475586,1.995827002,-1.034714583,2.204722794,0.853489219,0.113508608,1.486748997,-0.040919514,-0.589585837,-0.569696068,0.023380791,0.312251121,-0.55708791,-0.054970522,0.938366573,0.010017386,-0.20870514,0.049385997,0.027675462,1,0
26,0.879616743,-0.585083678,1.34271136,0.31972218,-0.971213579,-1.719158393,-1.033463456,0.218677767,-1.08562466,-0.589326266,1.921452477,-0.864005422,1.763381503,1.328398663,-0.436906141,0.547144647,-0.232767771,0.500706358,-0.251831414,-0.012302236,0.122075474,-1.169211218,-0.596052112,0.107330223,0.443201852,1.119314458,0.089818509,0.034890732,1,0
33,1.056257311,0.958283821,1.30632086,-2.260670994,-0.22523808,-0.092484635,0.356265857,-0.023558126,1.16511922,0.091742711,1.436430105,-0.308987676,1.383855537,0.405158405,-0.027115906,1.171427584,-0.353386939,0.458798441,0.479866991,0.321606042,0.022473611,0.578879904,-0.235727441,0.961695693,0.346245873,0.352786426,0.328289941,0.015913286,29.68,0
41,0.827262424,-0.251887473,-0.684657259,-0.076609712,-0.479253474,-0.162640656,-1.105629218,0.219016623,-1.084473129,-0.602112896,-1.557384883,-1.221447956,0.669848586,1.473388542,-1.036856079,-0.451066804,-0.080845695,0.446410622,-0.263959896,-0.062047867,0.318296498,-0.496126335,-0.114626403,1.008220624,0.186004656,0.531160719,0.033278764,0.050229737,1,0
83,-0.920750759,0.978910504,1.061239915,2.595750628,-0.708366618,-0.061811423,-1.860136346,-0.128094021,1.736849784,-0.774266715,0.044264474,-2.086752333,1.590094798,0.985325859,-0.279199511,-0.638685607,0.802520645,0.396426021,1.408179919,0.342835687,0.033591073,-0.988549956,-0.10425551,0.167277992,-0.392401492,0.380585912,-0.366272959,0.012983617,17.49,0
83,0.967503535,0.038202819,2.133959593,-3.23543144,0.170787279,-1.513862887,-0.993227924,0.222782421,1.504324476,0.054281528,0.83870407,-2.334600637,0.816265146,2.365324997,-0.733008816,-0.720051327,-0.270144278,-0.584190446,0.116019696,0.091213564,0.294474133,-0.36543793,-0.428629448,-0.060840522,0.356286716,-0.217427679,-0.038711932,0.183771627,15.95,0
93,0.76072041,-0.240484678,3.036157414,-0.236521306,0.518791164,-1.679444194,-1.101636145,0.073851069,-0.068025384,-0.069052489,0.634928372,-1.266510426,1.991038997,2.110306181,-0.491853524,0.46854055,-0.617902014,-0.10277596,-0.060587267,0.003066192,0.202506882,-0.105092983,-0.497062049,-0.31427382,0.357202321,-0.105141172,0.05781823,0.039486666,15.95,0
171,0.91131345,-0.179985361,1.275743311,0.045549554,-0.610914839,-1.032887339,-1.021569975,0.135380306,0.97821743,-0.382749561,0.599502455,-1.4461385,0.735137699,2.071714056,-0.314624628,-0.186400727,0.671115679,0.588805288,0.864613614,-0.176893332,-0.055059361,-0.352058084,-0.408141621,0.465770726,0.328361426,-0.734700247,0.046266133,0.002112762,15.95,0
187,0.843484018,-0.158503625,0.76031788,0.210990923,-0.746817153,-0.724707256,-0.958589264,0.421698603,0.790856253,-0.512090658,-0.952646875,1.164346862,1.949521893,1.03642541,-0.436903417,0.609877866,-0.03710172,0.481683627,-0.268345645,-0.050650707,0.308312089,-0.671963839,-0.220086975,0.41192404,0.043820155,-0.100921568,0.054280855,0.002607281,15.95,0
190,-2.439060018,-0.726868029,1.258134589,1.140292161,-0.019908615,-0.047203981,0.053679181,-0.071547635,1.817444288,-0.112309399,0.867452258,0.058515764,0.725971755,1.576688424,0.863742701,0.697475814,0.12223921,-0.960920005,0.761374837,-0.167086286,-0.104992212,0.356873346,-0.182711892,-0.016419952,-0.117840109,0.135990842,0.258698054,-0.095498234,11.03,0
190,-0.848508203,0.44625807,0.807382623,-1.471012194,1.764818217,1.75983109,0.171507891,-0.494807236,-1.496821586,-0.023641055,-0.421859696,-2.056483427,0.557769385,0.324229041,-1.635724199,-0.568733706,1.095057608,-0.30313392,1.449170579,0.110277978,0.007941372,-0.492042438,-0.137480518,0.35582965,0.181691908,-0.041466018,-0.022699034,-0.043973378,10.74,0
217,-1.485265914,1.603364357,2.281154391,-2.096021961,-1.751017189,0.011876639,-0.720617433,0.461484554,2.069244552,0.376995553,2.069619918,-2.665622183,-0.155190063,0.199718281,0.273284381,0.405336914,-0.438117467,-0.870327013,0.060892041,0.155571839,0.073438903,-0.749815467,-0.162769992,0.982981805,0.374728056,0.024783466,0.012043866,-0.389080631,8.11,0
218,-1.29631902,1.24649043,0.654613099,-2.200153833,0.297278557,-2.988002741,-0.76483358,0.055592974,-1.75604623,-0.941709367,2.0584845,-0.057122298,2.771601957,0.612334999,-0.539453766,-0.656933688,-0.27692482,0.504906913,-0.227401763,0.052674627,-0.091129731,0.40013185,-0.107222345,-1.146277059,-0.114586095,-0.719652694,0.24780456,-0.199034903,9.56,0
220,-2.436287199,-0.80984968,0.862160918,0.929165007,-0.575198193,-0.960115776,-0.405831018,0.735068516,0.011843827,1.955834475,0.144467127,-0.35804951,2.015116092,0.09646507,0.767388973,1.493239595,-0.159177689,-0.265642736,-0.640381481,0.049623171,0.045984113,-0.910004176,-0.323933042,1.041729309,0.620578992,0.367519277,-0.011421499,0.171419155,35.97,0
222,1.003491269,0.288315176,0.722057596,0.443377127,0.971514721,1.567285403,-8.210651875,-0.00024141,-0.75909427,-0.482963284,2.167468179,-0.905792953,1.551288373,1.572430656,-0.968360286,0.654273252,0.697739606,1.498973962,-0.477440562,0.055199531,0.071961191,0.286334184,-0.090099471,-0.670295987,0.392314845,0.095463634,0.004294982,0.418046598,37.92,0
231,1.177456981,-0.387594764,0.313968486,2.706602142,-1.55519437,-0.700617376,-0.6662244,0.036903883,-1.226599322,-0.870171696,0.830062033,-1.830692972,0.806358448,1.809185434,-0.934978493,-1.576746766,0.625820865,-0.521302215,0.833137888,-0.508250068,-0.039290407,-0.961118266,-0.282648094,-0.523921789,0.610880782,-0.050304049,-0.016376422,0.126182109,28.28,0
